Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,assignment
HG02121,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.989933,0.004369,1e-05,0.005647,1e-05,3
HG02122,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02127,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.987997,1e-05,1e-05,0.011943,1e-05,3
HG02128,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.985783,0.006804,1e-05,0.007363,1e-05,3
HG02130,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.97531,0.018735,1e-05,0.005906,1e-05,3
HG02131,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,0.000336,1e-05,1e-05,0.908598,0.072012,1e-05,0.019014,1e-05,3
HG02133,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.98854,1e-05,1e-05,0.0114,1e-05,3
HG02134,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1.4e-05,0.974156,0.008057,1e-05,0.017733,1e-05,3
HG02136,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.971686,0.028254,1e-05,1e-05,1e-05,3
HG02137,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.992249,0.005344,1e-05,0.002358,1e-05,3
HG02138,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.990178,0.000192,1e-05,0.00958,1e-05,3
HG02139,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.997738,1e-05,1e-05,0.002202,1e-05,3
HG02140,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.993307,0.006633,1e-05,1e-05,1e-05,3
HG02141,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,1e-05,1e-05,1e-05,0.977777,0.017031,1e-05,0.005143,1e-05,3
HG02142,KHV,Kinh Vietnamese,EAS,East Asian,1kG,10.8,106.65,"Ho Chi Minh City, Vietnam",,,,1.0,0.089467,1e-05,1e-05,0.90412,0.006363,1e-05,1e-05,1e-05,3
HG02143,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.177162,0.012393,1e-05,1e-05,1e-05,0.810395,1e-05,1e-05,5
HG02144,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.058239,0.006618,1e-05,1e-05,1e-05,0.934314,0.000789,1e-05,5
HG02146,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.095165,1e-05,0.904775,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02147,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.069032,1e-05,0.930908,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02150,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.034312,1e-05,0.965628,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02151,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02152,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.998947,1e-05,1e-05,0.000993,1e-05,3
HG02153,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,2e-05,1e-05,3
HG02154,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02155,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02156,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02164,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.998706,1e-05,1e-05,0.001234,1e-05,3
HG02165,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.989676,1e-05,1e-05,0.010264,1e-05,3
HG02166,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.997634,1e-05,1e-05,0.002306,1e-05,3
HG02178,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02179,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.993128,1e-05,1e-05,0.006812,1e-05,3
HG02180,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02181,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02182,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02184,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02185,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996337,1e-05,1e-05,0.003603,1e-05,3
HG02186,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02187,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02188,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.994716,1e-05,1e-05,0.005224,1e-05,3
HG02190,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.9965,1e-05,1e-05,0.003439,1e-05,3
HG02215,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG02219,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.839455,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.160485,0
HG02220,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.843912,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.156028,0
HG02221,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.836121,1e-05,1e-05,1e-05,1e-05,0.004554,1e-05,0.159275,0
HG02223,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.847373,1e-05,1e-05,1e-05,1e-05,0.00191,1e-05,0.150667,0
HG02224,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.868961,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.130979,0
HG02230,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.866613,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.133327,0
HG02231,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.858335,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.141605,0
HG02232,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.78916,1e-05,1e-05,1e-05,1e-05,0.012376,1e-05,0.198414,0
HG02233,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.747492,1e-05,1e-05,1e-05,1e-05,0.010128,1e-05,0.242331,0
HG02235,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.804317,1e-05,1e-05,1e-05,1e-05,0.006064,1e-05,0.189569,0
HG02236,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.773796,1e-05,1e-05,1e-05,1e-05,0.004253,1e-05,0.221901,0
HG02238,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.795741,1e-05,1e-05,1e-05,1e-05,0.008559,1e-05,0.19565,0
HG02239,IBS,Spanish,EUR,European,1kG,40.24448698,-3.64755047,,,,,1.0,0.702507,1e-05,1e-05,1e-05,0.035535,0.004961,1e-05,0.256956,0
HG02250,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.994922,1.1e-05,1e-05,0.005017,1e-05,3
HG02252,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.285691,1e-05,0.663833,1e-05,1e-05,1e-05,1e-05,0.050425,2
HG02253,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.363562,1e-05,0.553549,1e-05,1e-05,1e-05,1e-05,0.082839,2
HG02255,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.073007,0.011528,1e-05,1e-05,1e-05,0.915414,1e-05,1e-05,5
HG02256,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.190602,1e-05,0.023695,1e-05,1e-05,0.785653,1e-05,1e-05,5
HG02259,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02260,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.155851,1e-05,0.844089,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02262,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.203102,1e-05,0.796838,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02265,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.046533,1e-05,0.953407,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02266,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.053056,1e-05,0.94688,1e-05,1e-05,1e-05,1.3e-05,1e-05,2
HG02271,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.001765,1e-05,0.998175,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02272,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,1.2e-05,1e-05,0.999928,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02274,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.115665,1e-05,0.620414,1e-05,1e-05,0.256348,1e-05,0.007532,2
HG02275,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.032876,1e-05,0.967061,1e-05,1.4e-05,1e-05,1e-05,1e-05,2
HG02277,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.280096,1e-05,0.699682,1e-05,1e-05,1e-05,1e-05,0.020172,2
HG02278,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.07521,1e-05,0.92473,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02281,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.029402,1e-05,1e-05,1e-05,1e-05,0.970521,2.6e-05,1e-05,5
HG02282,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.193777,0.011229,1e-05,1e-05,1e-05,0.794944,1e-05,1e-05,5
HG02283,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.19778,0.008079,1e-05,1e-05,1e-05,0.794091,1e-05,1e-05,5
HG02284,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.152484,0.016962,1e-05,1e-05,1e-05,0.830504,1e-05,1e-05,5
HG02285,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.191399,1e-05,0.808541,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02286,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.222649,1e-05,0.770161,1e-05,1e-05,1e-05,1e-05,0.00714,2
HG02291,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.003589,1e-05,0.99635,1.1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02292,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.123631,1e-05,0.876309,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02298,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.322996,1e-05,0.620709,1e-05,1e-05,1e-05,1e-05,0.056245,2
HG02299,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,1.0,0.124354,1e-05,0.875586,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02301,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.161957,1e-05,0.837983,1e-05,1e-05,1e-05,1e-05,1e-05,2
HG02304,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.148395,1e-05,0.788672,1e-05,1e-05,0.046292,1e-05,0.016601,2
HG02307,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.051245,0.005385,1e-05,1e-05,1e-05,0.943321,1e-05,1e-05,5
HG02308,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.101699,0.001818,1e-05,1e-05,1e-05,0.896434,1e-05,1e-05,5
HG02309,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.091652,0.006863,1e-05,1e-05,1e-05,0.901435,1e-05,1e-05,5
HG02312,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.316014,1e-05,0.624675,1e-05,1e-05,1e-05,1e-05,0.059261,2
HG02314,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.067493,0.00542,1e-05,1e-05,1e-05,0.927038,1e-05,1e-05,5
HG02315,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.122208,0.00824,1e-05,1e-05,1e-05,0.869501,1e-05,1e-05,5
HG02317,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.052839,0.005748,1e-05,1e-05,1e-05,0.941363,1e-05,1e-05,5
HG02318,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.041748,1e-05,1e-05,0.005845,1e-05,0.951539,0.000827,1e-05,5
HG02322,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.126428,1e-05,1e-05,1e-05,1e-05,0.873512,1e-05,1e-05,5
HG02323,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.058515,0.007649,1e-05,1e-05,1e-05,0.931391,0.002405,1e-05,5
HG02325,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.01602,0.001727,1e-05,0.004266,1e-05,0.976633,0.001325,1e-05,5
HG02330,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.101846,0.008022,1e-05,1e-05,1e-05,0.890082,1e-05,1e-05,5
HG02332,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.081415,0.006433,1e-05,1e-05,1e-05,0.912102,1e-05,1e-05,5
HG02334,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.240282,0.003665,1e-05,1e-05,1e-05,0.756003,1e-05,1e-05,5
HG02337,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.105813,0.007733,1e-05,1e-05,1e-05,0.88552,0.000893,1e-05,5
HG02339,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.012024,0.004374,1e-05,1e-05,1e-05,0.982956,0.000606,1e-05,5
HG02343,ACB,African-Caribbean,AFR,African,1kG,13.18145428,-59.559797,Barbados,,,,0.0,0.21034,1e-05,1e-05,1e-05,1e-05,0.788691,1e-05,0.000919,5
HG02345,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.315194,1e-05,0.457223,0.103807,1e-05,0.069016,1e-05,0.05473,2
HG02348,PEL,Peruvian,AMR,American,1kG,-12.05,-77.033333,"Lima-Callao, Peru, metropolitan area",,,,0.0,0.121664,1e-05,0.850075,1e-05,1e-05,1e-05,1e-05,0.028212,2
HG02351,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.997616,1e-05,1e-05,0.002324,1e-05,3
HG02353,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.998003,1e-05,1e-05,0.001937,1e-05,3
HG02355,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.999791,1e-05,1e-05,0.000149,1e-05,3
HG02356,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02360,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02364,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.995756,1e-05,1e-05,0.004184,1e-05,3
HG02367,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99303,1e-05,1e-05,0.00691,1e-05,3
HG02371,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.997204,1e-05,1e-05,0.002736,1e-05,3
HG02373,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996619,1.1e-05,1e-05,0.003319,1e-05,3
HG02374,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02375,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996805,1e-05,1e-05,0.003135,1e-05,3
HG02379,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02380,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.994771,1e-05,1e-05,0.005169,1e-05,3
HG02382,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996226,1e-05,1e-05,0.003714,1e-05,3
HG02383,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996121,1e-05,1e-05,0.003819,1e-05,3
HG02384,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02385,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.997128,1e-05,1e-05,0.002812,1e-05,3
HG02386,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.994406,1e-05,1e-05,0.005534,1e-05,3
HG02389,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02390,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02391,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.999925,1e-05,1e-05,1.5e-05,1e-05,3
HG02392,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.999847,1e-05,1e-05,9.3e-05,1e-05,3
HG02394,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02395,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02396,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02397,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996,1e-05,1e-05,0.00394,1e-05,3
HG02398,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99498,1e-05,1e-05,0.00496,1e-05,3
HG02399,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1.3e-05,0.997919,1e-05,1e-05,0.002018,1e-05,3
HG02401,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02402,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
HG02406,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.996756,1e-05,1e-05,0.003184,1e-05,3
HG02407,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1.1e-05,1e-05,1e-05,0.996434,1.1e-05,1e-05,0.003503,1e-05,3
HG02408,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.994429,1e-05,1e-05,0.005511,1e-05,3
HG02409,CDX,Dai Chinese,EAS,East Asian,1kG,22.000302,100.79837,"Xishuangbanna, Yunnan, China",,,,1.0,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,3
