Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,assignment
HG00148,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00149,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00150,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00151,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00154,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00155,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00157,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00158,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00159,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00160,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00171,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.944304,1e-05,0.007717,0.047929,1e-05,1e-05,1e-05,1e-05,0
HG00173,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.959723,1e-05,0.011923,0.028304,1e-05,1e-05,1e-05,1e-05,0
HG00174,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_D10,Finland,,1.0,0.977906,1e-05,0.008882,0.013161,1e-05,1e-05,1e-05,1e-05,0
HG00176,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.952295,1e-05,0.014313,0.033342,1e-05,1e-05,1e-05,1e-05,0
