Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,8,assignment
HG00150,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.772857,0.227073,1e-05,1e-05,1e-05,1e-05,3
HG00151,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789765,0.210165,1e-05,1e-05,1e-05,1e-05,3
HG00154,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.788377,0.211553,1e-05,1e-05,1e-05,1e-05,3
HG00155,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.776904,0.223026,1e-05,1e-05,1e-05,1e-05,3
HG00157,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.79059,0.20934,1e-05,1e-05,1e-05,1e-05,3
HG00158,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.784559,0.215371,1e-05,1e-05,1e-05,1e-05,3
HG00159,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000202,1.8e-05,0.786389,0.213342,1e-05,1e-05,1e-05,1e-05,3
HG00160,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.4e-05,1e-05,1e-05,0.787372,0.212553,1.1e-05,1e-05,1e-05,1e-05,3
HG00171,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.006976,1e-05,0.736657,0.225459,0.030858,1e-05,1e-05,1e-05,3
HG00173,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.010727,1e-05,0.744214,0.229246,0.015759,1e-05,1.4e-05,1e-05,3
HG00174,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_D10,Finland,,1.0,1e-05,0.007951,1e-05,0.770671,0.213794,0.007522,1.9e-05,1.3e-05,1e-05,3
HG00176,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.01326,1e-05,0.742258,0.224955,0.019476,1e-05,1e-05,1e-05,3
HG00177,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.011157,1e-05,0.733273,0.2228,0.032719,1e-05,1e-05,1e-05,3
HG00178,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.002776,1e-05,0.7572,0.220441,0.019533,1e-05,1e-05,1e-05,3
HG00179,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.012835,1e-05,0.72606,0.233657,0.027397,1e-05,1e-05,1e-05,3
HG00180,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.008026,1e-05,0.743074,0.222807,0.026044,1e-05,1e-05,1e-05,3
HG00181,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1.2e-05,0.004801,0.023634,0.73442,0.214514,0.022588,1e-05,1.1e-05,1e-05,3
HG00182,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.009441,1e-05,0.727931,0.23807,0.024508,1e-05,1e-05,1e-05,3
HG00183,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.011162,1e-05,0.733774,0.233219,0.021795,1e-05,1e-05,1e-05,3
HG00185,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.009564,1e-05,0.745307,0.222625,0.022454,1e-05,1e-05,1e-05,3
HG00186,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.013108,1.9e-05,0.737283,0.228317,0.021232,1e-05,1e-05,1e-05,3
HG00187,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.009143,1e-05,0.732341,0.22836,0.030106,1e-05,1e-05,1e-05,3
HG00188,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.006987,1e-05,0.745617,0.229763,0.017583,1e-05,1e-05,1e-05,3
HG00189,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.016164,1e-05,0.741606,0.224086,0.018094,1e-05,1e-05,1e-05,3
HG00190,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_C10,Finland,,1.0,1e-05,0.005433,1e-05,0.75474,0.229988,0.00979,1e-05,1e-05,1e-05,3
HG00231,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.786716,0.213214,1e-05,1e-05,1e-05,1e-05,3
HG00232,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.78113,0.2188,1e-05,1e-05,1e-05,1e-05,3
HG00233,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.786179,0.213751,1e-05,1e-05,1e-05,1e-05,3
HG00234,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000198,1e-05,0.789548,0.210194,1e-05,1e-05,1e-05,1e-05,3
HG00235,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789015,0.210912,1e-05,1e-05,1.3e-05,1e-05,3
HG00236,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.796767,0.203157,1.6e-05,1e-05,1e-05,1e-05,3
HG00237,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.778855,0.221074,1e-05,1e-05,1.1e-05,1e-05,3
HG00238,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.793336,0.206594,1e-05,1e-05,1e-05,1e-05,3
HG00239,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000221,1e-05,0.792128,0.207589,1.2e-05,1e-05,1e-05,1e-05,3
HG00240,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.797127,0.202803,1e-05,1e-05,1e-05,1e-05,3
HG00242,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.779674,0.220256,1e-05,1e-05,1e-05,1e-05,3
HG00243,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.3e-05,1e-05,1e-05,0.780442,0.219485,1e-05,1e-05,1e-05,1e-05,3
HG00244,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789091,0.210839,1e-05,1e-05,1e-05,1e-05,3
HG00245,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.4e-05,0.000186,1e-05,0.783139,0.21661,1e-05,1e-05,1e-05,1e-05,3
HG00246,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790473,0.209449,1e-05,1e-05,1.8e-05,1e-05,3
HG00250,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.3e-05,1e-05,0.001263,0.782545,0.21613,1e-05,1e-05,1e-05,1e-05,3
HG00251,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.782095,0.217835,1e-05,1e-05,1e-05,1e-05,3
HG00252,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1.8e-05,1e-05,0.77762,0.222302,1e-05,1e-05,1e-05,1e-05,3
HG00253,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.797685,0.202245,1e-05,1e-05,1e-05,1e-05,3
HG00254,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000219,1e-05,0.796004,0.203714,1.3e-05,1e-05,1e-05,1e-05,3
HG00255,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.8e-05,1e-05,1e-05,0.775934,0.223806,1e-05,0.00019,1.2e-05,1e-05,3
HG00256,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.780953,0.218977,1e-05,1e-05,1e-05,1e-05,3
HG00257,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000147,1e-05,0.793815,0.205978,1e-05,1e-05,1e-05,1e-05,3
HG00258,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.797739,0.202191,1e-05,1e-05,1e-05,1e-05,3
HG00259,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790383,0.209546,1.2e-05,1e-05,1e-05,1e-05,3
HG00260,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790456,0.209474,1e-05,1e-05,1e-05,1e-05,3
HG00261,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.785871,0.214059,1e-05,1e-05,1e-05,1e-05,3
HG00262,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789944,0.209986,1e-05,1e-05,1e-05,1e-05,3
HG00263,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790899,0.209031,1e-05,1e-05,1e-05,1e-05,3
HG00264,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.785443,0.214487,1e-05,1e-05,1e-05,1e-05,3
HG00265,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.793914,0.206016,1e-05,1e-05,1e-05,1e-05,3
HG00266,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1.3e-05,0.006247,1e-05,0.74097,0.234313,0.018417,1e-05,1e-05,1e-05,3
HG00267,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.00849,1e-05,0.741041,0.226285,0.024134,1e-05,1e-05,1e-05,3
HG00268,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.005386,1e-05,0.755563,0.227822,0.011178,1.2e-05,1e-05,1e-05,3
HG00269,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.010811,1e-05,0.742298,0.226198,0.020643,1e-05,1e-05,1e-05,3
HG00271,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.01757,1e-05,0.716519,0.23756,0.028301,1e-05,1e-05,1e-05,3
HG00272,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.013041,1e-05,0.71501,0.239669,0.032231,1e-05,1e-05,1e-05,3
HG00273,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,1.2e-05,1e-05,0.754755,0.227714,0.017467,1.2e-05,1e-05,1e-05,3
HG00274,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1.1e-05,0.014524,1e-05,0.750156,0.228845,0.006425,1e-05,1e-05,1e-05,3
HG00275,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1.4e-05,0.007658,1e-05,0.763794,0.220218,0.008275,1e-05,1e-05,1e-05,3
HG00276,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.005672,1e-05,0.748737,0.225946,0.019596,1e-05,1e-05,1e-05,3
HG00277,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.002903,1e-05,0.76253,0.228893,0.005624,1e-05,1e-05,1e-05,3
HG00278,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.010356,1e-05,0.74026,0.2301,0.019235,1e-05,1e-05,1e-05,3
HG00280,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.003242,1e-05,0.746435,0.229254,0.021019,1e-05,1e-05,1e-05,3
HG00281,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.014047,1.6e-05,0.747699,0.221443,0.016754,1e-05,1e-05,1e-05,3
HG00282,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,1e-05,0.004417,1e-05,0.752337,0.223817,0.019379,1e-05,1e-05,1e-05,3
