IND,0,1,2,3,4
HGDP00942,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00943,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP00944,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01041,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01043,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01053,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01056,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01057,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01059,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01060,1e-05,1e-05,1e-05,0.99996,1e-05
HGDP01199,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01200,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01201,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01202,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01284,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01285,1e-05,1e-05,1e-05,1e-05,0.99996
HGDP01286,1e-05,1e-05,1e-05,1e-05,0.99996
LP6005443-DNA_E11,1e-05,1e-05,1e-05,0.99996,1e-05
LP6005443-DNA_F11,1e-05,1e-05,1e-05,0.99996,1e-05
LP6005677-DNA_D01,1e-05,1e-05,1e-05,0.99996,1e-05
NA18486,1e-05,1e-05,1e-05,1e-05,0.99996
NA18488,1e-05,1e-05,1e-05,1e-05,0.99996
NA18489,1e-05,1e-05,1e-05,1e-05,0.99996
NA18498,1e-05,1e-05,1e-05,1e-05,0.99996
NA18499,1e-05,1e-05,1e-05,1e-05,0.99996
NA18501,1e-05,1e-05,1e-05,1e-05,0.99996
NA18502,1e-05,1e-05,1e-05,1e-05,0.99996
NA18504,1e-05,1e-05,1e-05,1e-05,0.99996
NA18505,1e-05,1e-05,1e-05,1e-05,0.99996
NA18507,1e-05,1e-05,1e-05,1e-05,0.99996
NA18508,1e-05,1e-05,1e-05,1e-05,0.99996
NA18510,1e-05,1e-05,1e-05,1e-05,0.99996
NA18511,1e-05,1e-05,1e-05,1e-05,0.99996
NA18516,1e-05,1e-05,1e-05,1e-05,0.99996
NA18517,1e-05,1e-05,1e-05,1e-05,0.99996
NA18519,1e-05,1e-05,1e-05,1e-05,0.99996
NA18520,1e-05,1e-05,1e-05,1e-05,0.99996
NA18522,1e-05,1e-05,1e-05,1e-05,0.99996
NA18523,1e-05,1e-05,1e-05,1e-05,0.99996
NA18853,1e-05,1e-05,1e-05,1e-05,0.99996
NA18856,1e-05,1e-05,1e-05,1e-05,0.99996
NA18858,1e-05,1e-05,1e-05,1e-05,0.99996
NA18861,1e-05,1e-05,1e-05,1e-05,0.99996
NA18864,1e-05,1e-05,1e-05,1e-05,0.99996
NA18865,1e-05,1e-05,1e-05,1e-05,0.99996
NA18867,1e-05,1e-05,1e-05,1e-05,0.99996
NA18868,1e-05,1e-05,1e-05,1e-05,0.99996
NA18870,1e-05,1e-05,1e-05,1e-05,0.99996
NA18871,1e-05,1e-05,1e-05,1e-05,0.99996
NA18873,1e-05,1e-05,1e-05,1e-05,0.99996
NA18874,1e-05,1e-05,1e-05,1e-05,0.99996
NA18876,1e-05,1e-05,1e-05,1e-05,0.99996
NA18877,1e-05,1e-05,1e-05,1e-05,0.99996
NA18878,1e-05,1e-05,1e-05,1e-05,0.99996
NA18879,1e-05,1e-05,1e-05,1e-05,0.99996
NA18881,1e-05,1e-05,1e-05,1e-05,0.99996
NA18907,1e-05,1e-05,1e-05,1e-05,0.99996
NA18908,1e-05,1e-05,1e-05,1e-05,0.99996
NA18909,1e-05,1e-05,1e-05,1e-05,0.99996
NA18910,1e-05,1e-05,1e-05,1e-05,0.99996
NA18912,1e-05,1e-05,1e-05,1e-05,0.99996
NA18915,1e-05,1e-05,1e-05,1e-05,0.99996
NA18916,1e-05,1e-05,1e-05,1e-05,0.99996
NA18917,1e-05,1e-05,1e-05,1e-05,0.99996
NA18923,1e-05,1e-05,1e-05,1e-05,0.99996
NA18924,1e-05,1e-05,1e-05,1e-05,0.99996
NA18933,1e-05,1e-05,1e-05,1e-05,0.99996
NA18934,1e-05,1e-05,1e-05,1e-05,0.99996
NA19092,1e-05,1e-05,1e-05,1e-05,0.99996
NA19093,1e-05,1e-05,1e-05,1e-05,0.99996
NA19095,1e-05,1e-05,1e-05,1e-05,0.99996
NA19096,1e-05,1e-05,1e-05,1e-05,0.99996
