IND,0,1,2,3,4,5,6,7,8,9
HG01571,1e-05,1e-05,1e-05,1e-05,0.666311,1e-05,1e-05,0.333609,1e-05,1e-05
HG01572,1e-05,1e-05,1e-05,1e-05,0.973485,1e-05,1e-05,0.026435,1e-05,1e-05
HG01578,1e-05,1e-05,1e-05,1e-05,0.614269,1e-05,1e-05,0.385651,1e-05,1e-05
HG01595,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01596,1e-05,1e-05,1e-05,1e-05,1e-05,0.970956,0.028964,1e-05,1e-05,1e-05
HG01597,1e-05,1e-05,1e-05,0.000224,1.5e-05,0.999691,1e-05,1e-05,1e-05,1e-05
HG01598,1e-05,1e-05,1e-05,1e-05,1e-05,0.992019,1e-05,1e-05,0.007901,1e-05
HG01599,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01600,1e-05,1e-05,1e-05,0.002881,1e-05,0.997039,1e-05,1e-05,1e-05,1e-05
HG01617,1e-05,1e-05,1e-05,0.000244,1e-05,1e-05,1e-05,0.999676,1e-05,1e-05
HG01675,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01676,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01678,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01679,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01682,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01700,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,0.999905,1e-05,1e-05
HG01702,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01746,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01747,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01765,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.966115,1e-05,0.033805
HG01770,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01771,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01773,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01784,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05
HG01794,1e-05,1e-05,1e-05,2e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05
HG01795,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01796,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01797,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01798,1e-05,1e-05,1e-05,1e-05,1e-05,0.749565,1.1e-05,1e-05,0.250354,1e-05
HG01799,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01800,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01801,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01802,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01804,1e-05,1e-05,1e-05,0.001482,1e-05,0.998438,1e-05,1e-05,1e-05,1e-05
HG01805,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01806,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01807,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01808,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01809,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01810,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01811,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01812,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
