Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,assignment
HG00181,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.038879,1e-05,1e-05,1e-05,0.012019,0.949071,5
HG00182,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.048454,1e-05,1e-05,1e-05,0.02615,0.925366,5
HG00183,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.045818,1e-05,1e-05,1e-05,0.023492,0.93066,5
HG00185,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.04462,1e-05,1e-05,1e-05,0.021835,0.933516,5
HG00186,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.044495,1e-05,1e-05,1e-05,0.02462,0.930855,5
HG00187,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.054612,1e-05,1e-05,1e-05,0.022371,0.922986,5
HG00188,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.035416,1e-05,1e-05,1e-05,0.017303,0.94725,5
HG00189,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.038834,1e-05,1e-05,1e-05,0.026797,0.93434,5
HG00190,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,LP6005442-DNA_C10,Finland,,1.0,0.026979,1e-05,1e-05,1e-05,0.013546,0.959445,5
HG00231,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00232,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00233,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.8e-05,1e-05,1e-05,1e-05,1e-05,0.999942,5
HG00234,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00235,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00236,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00237,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00238,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00239,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1.7e-05,1e-05,1e-05,0.999943,5
HG00240,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
