IND,0,1,2
HGDP00455,1e-05,0.99998,1e-05
HGDP00456,1e-05,0.99998,1e-05
HGDP00457,1e-05,0.99998,1e-05
HGDP00458,1e-05,0.99998,1e-05
HGDP00459,1e-05,0.99998,1e-05
HGDP00460,1e-05,0.99998,1e-05
HGDP00461,1e-05,0.99998,1e-05
HGDP00462,1e-05,0.99998,1e-05
HGDP00463,1e-05,0.99998,1e-05
HGDP00464,1e-05,0.99998,1e-05
HGDP00466,1e-05,0.99998,1e-05
HGDP00467,1e-05,0.99998,1e-05
HGDP00469,1e-05,0.99998,1e-05
HGDP00470,1e-05,0.99998,1e-05
HGDP00471,1e-05,0.99998,1e-05
HGDP00472,1e-05,0.99998,1e-05
HGDP00473,1e-05,0.99998,1e-05
HGDP00474,1e-05,0.99998,1e-05
HGDP00475,1e-05,0.99998,1e-05
HGDP00476,1e-05,0.99998,1e-05
HGDP00478,1e-05,0.99998,1e-05
HGDP00479,1e-05,0.99998,1e-05
HGDP00904,1e-05,0.99998,1e-05
HGDP00906,1e-05,0.99998,1e-05
HGDP00907,1e-05,0.99998,1e-05
HGDP00908,1e-05,0.99998,1e-05
HGDP00909,1e-05,0.99998,1e-05
HGDP00910,1e-05,0.99998,1e-05
HGDP00912,1e-05,0.99998,1e-05
HGDP00913,1e-05,0.99998,1e-05
HGDP00915,1e-05,0.99998,1e-05
HGDP00920,1e-05,0.99998,1e-05
HGDP00924,1e-05,0.99998,1e-05
HGDP00925,1e-05,0.99998,1e-05
HGDP00926,1e-05,0.99998,1e-05
HGDP00927,1e-05,0.99998,1e-05
HGDP00928,1e-05,0.99998,1e-05
HGDP00929,1e-05,0.99998,1e-05
HGDP00930,1e-05,0.99998,1e-05
HGDP00931,1e-05,0.99998,1e-05
HGDP00932,1e-05,0.99998,1e-05
HGDP00933,1e-05,0.99998,1e-05
HGDP00934,1e-05,0.99998,1e-05
HGDP00935,1e-05,0.99998,1e-05
HGDP00936,1e-05,0.99998,1e-05
HGDP00937,1e-05,0.99998,1e-05
HGDP00938,1e-05,0.99998,1e-05
HGDP00939,1e-05,0.99998,1e-05
HGDP00940,1e-05,0.99998,1e-05
HGDP00941,1e-05,0.99998,1e-05
HGDP00942,1e-05,0.99998,1e-05
HGDP00943,1e-05,0.99998,1e-05
HGDP00944,1e-05,0.99998,1e-05
HGDP00982,1e-05,0.99998,1e-05
HGDP00984,1e-05,0.99998,1e-05
HGDP00985,1e-05,0.99998,1e-05
HGDP00986,1e-05,0.99998,1e-05
HGDP00991,1e-05,0.99998,1e-05
HGDP00993,1e-05,0.99998,1e-05
HGDP00994,1e-05,0.99998,1e-05
HGDP01031,1e-05,0.99998,1e-05
HGDP01033,1e-05,0.99998,1e-05
HGDP01081,1e-05,0.99998,1e-05
HGDP01086,1e-05,0.99998,1e-05
HGDP01090,1e-05,0.99998,1e-05
HGDP01094,1e-05,0.99998,1e-05
HGDP01199,1e-05,0.99998,1e-05
HGDP01200,1e-05,0.99998,1e-05
HGDP01201,1e-05,0.99998,1e-05
HGDP01202,1e-05,0.99998,1e-05
HGDP01284,1e-05,0.99998,1e-05
HGDP01285,1e-05,0.99998,1e-05
HGDP01286,1e-05,0.99998,1e-05
HGDP01405,1e-05,0.99998,1e-05
HGDP01412,1e-05,0.99998,1e-05
HGDP01417,1e-05,0.99998,1e-05
HGDP01419,1e-05,0.99998,1e-05
LP6005441-DNA_F01,1e-05,0.99998,1e-05
LP6005443-DNA_E02,1e-05,0.99998,1e-05
LP6005443-DNA_F02,1e-05,0.99998,1e-05
LP6005443-DNA_G02,1e-05,0.99998,1e-05
