Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00277	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00278	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00280	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00281	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00282	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00284	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00285	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00288	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00290	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00304	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00306	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00308	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00309	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00310	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00311	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00313	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00315	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00318	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00319	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00320	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00321	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00323	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00324	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00325	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00326	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00327	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00328	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00329	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00330	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00331	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00332	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00334	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00335	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00336	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00337	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00338	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00339	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00341	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00342	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00343	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00344	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00345	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00346	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00349	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00350	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00351	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00353	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00355	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00356	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00357	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00358	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00360	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656		LP6005592-DNA_A02	Finland		1
